timestamp_ms,symbol,side,entry_price,base_sl_pct,base_tp_pcts,ai_sl_pct,ai_tp_pcts,pnl_pct,reason
1774538936868,PARTIUSDT,LONG,0.10452000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774538950045,MUSDT,SHORT,2.05670000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774538950120,UBUSDT,LONG,0.03024000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774538950124,BASUSDT,LONG,0.00951600,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774539137868,UBUSDT,SHORT,0.02939000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774539144161,PTBUSDT,SHORT,0.00162600,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774539168387,BSBUSDT,LONG,0.16965000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774539346128,SIRENUSDT,SHORT,1.92328000,2.000000,2.000000;4.000000;6.000000,1.710000,1.710000;3.420000;5.130000,,
1774539379569,BOBUSDT,SHORT,0.00550600,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774539578960,PIPPINUSDT,LONG,0.05696000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774539621140,KATUSDT,SHORT,0.01347000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774539622245,SIRENUSDT,SHORT,1.71463000,2.000000,2.000000;4.000000;6.000000,1.483527,1.574618;3.123116;4.634691,,
1774539769317,ENJUSDT,LONG,0.02194000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774539831260,SIRENUSDT,SHORT,1.73623000,2.000000,2.000000;4.000000;6.000000,1.800000,1.800000;3.600000;5.400000,,
1774539860116,BASUSDT,SHORT,0.00927200,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774540241281,SIRENUSDT,SHORT,1.66189000,2.000000,2.000000;4.000000;6.000000,1.800000,1.890000;3.780000;5.670000,,
1774540443408,BOBUSDT,LONG,0.00577900,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774540633477,SIRENUSDT,SHORT,1.49349000,2.000000,2.000000;4.000000;6.000000,1.511648,1.574077;3.128294;4.652378,,
1774540851425,STOUSDT,LONG,0.09651000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774540922744,SIRENUSDT,SHORT,1.40578000,2.000000,2.000000;4.000000;6.000000,1.435993,1.760026;3.490937;5.194425,,
1774540931539,ONUSDT,LONG,0.11668000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774540937737,BEATUSDT,LONG,0.61520000,2.000000,2.000000;4.000000;6.000000,1.781335,1.836819;3.677960;5.580374,,
1774541179830,SIRENUSDT,SHORT,1.56862000,2.000000,2.000000;4.000000;6.000000,1.577113,1.888895;3.770698;5.631234,,
1774541560160,BRUSDT,SHORT,0.17319000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774541570728,MUSDT,LONG,2.12950000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774541583832,ONUSDT,SHORT,0.11091000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774541686555,ENJUSDT,LONG,0.02249000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
1774541766158,MUSDT,LONG,2.10420000,2.000000,2.000000;4.000000;6.000000,1.900000,1.900000;3.800000;5.700000,,
1774541778375,ONUSDT,SHORT,0.10644000,2.000000,2.000000;4.000000;6.000000,2.000000,2.000000;4.000000;6.000000,,
